Address;Name;Value;Type;Size;Scale Factor;Units;RW;Description
40002;ID;1;uint16;1;;;R;Model identifier
40003;Model Length;66;uint16;1;;;R;Model length
40004;Manufacturer;;string;16;;;R;Well known value registered with SunSpec for compliance
40020;Model;;string;16;;;R;Manufacturer specific value (32 chars)
40036;Options;;string;8;;;R;Manufacturer specific value (16 chars)
40044;Version;;string;8;;;R;Manufacturer specific value (16 chars)
40052;Serial Number;;string;16;;;R;Manufacturer specific value (32 chars)
40068;Device Address;;uint16;1;;;RW;Modbus device address
40070;ID;802;uint16;1;;;R;Model identifier
40071;Model Length;128;uint16;1;;;R;Model length
40073;WHRtg;;uint16;1;WHRtg_SF(*0.01);kWh;R;Energy Capacity
40074;Max Charge Rate;;uint16;1;W_SF(*1);W;R;Maximum rate of energy transfer into the storage device in DC watts.
40075;Max Discharge Rate;;uint16;1;W_SF(*1);W;R;Maximum rate of energy transfer out of the storage device in DC watts
40077;SoCMax;1000;uint16;1;SoC_SF(*0.1);%;R;Manufacturer maximum state of charge, expressed as a percentage.
40078;SoCMin;0;uint16;1;SoC_SF(*0.1);%;R;Manufacturer minimum state of charge, expressed as a percentage.
40079;SoCRsvMax;;uint16;1;SoC_SF(*0.1);%;RW;Setpoint for maximum reserve for storage as a percentage of the nominal maximum storage.
40080;SoCRsvMin;;uint16;1;SoC_SF(*0.1);%;RW;Setpoint for minimum reserve for storage as a percentage of the nominal maximum storage.
40081;SoC;;uint16;1;SoC_SF(*0.1);%;R;State of charge, expressed as a percentage.
40083;SoH;;uint16;1;SoH_SF(*1);%;R;Percentage of battery life remaining.
40086;Charge Status;;enum16;1;;;R;Charge status of storage device. Enumeration.
;OFF;1;;;;;;
;EMPTY;2;;;;;;
;DISCHARGING;3;;;;;;
;CHARGING;4;;;;;;
;FULL;5;;;;;;
;HOLDING;6;;;;;;
;TESTING;7;;;;;;
40089;Controller Heartbeat;;uint16;1;;;R;Value is incremented every second with periodic resets to zero.
40096;Battery Event 1 Bitfield;;bitfield32;2;;;R;Alarms and warnings. Bit flags.
;COMMUNICATION_ERROR;0;;;;;;
;OVER_TEMP_ALARM;1;;;;;;
;;2;;;;;;reserve
;UNDER_TEMP_ALARM;3;;;;;;
;;4;;;;;;reserve
;OVER_CHARGE_CURRENT_ALARM;5;;;;;;
;;6;;;;;;reserve
;OVER_DISCHARGE_CURRENT_ALARM;7;;;;;;
;;8;;;;;;reserve
;OVER_VOLT_ALARM;9;;;;;;
;;10;;;;;;reserve
;UNDER_VOLT_ALARM;11;;;;;;
;;12;;;;;;reserve
;;13;;;;;;reserve
;;14;;;;;;reserve
;;15;;;;;;reserve
;;16;;;;;;reserve
;;17;;;;;;reserve
;;18;;;;;;reserve
;;19;;;;;;reserve
;;20;;;;;;reserve
;;21;;;;;;reserve
;GROUND_FAULT;22;;;;;;
;;23;;;;;;reserve
